Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,SubCategory,Product Name,Sales,Quantity,Discount,Profit,Outlier,Q1,     Q3,IQR,Upper Limit,Lower Limit
22,CA2016137330,12-09-2016,13-12-2016,Standard Class,KB16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFFAR10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,FALSE,,,,,
23,CA2016137330,12-09-2016,13-12-2016,Standard Class,KB16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFFAP10001492,Office Supplies,Appliances,"Acco SixOutlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,FALSE,,,,,
24,US2017156909,16-07-2017,18-07-2017,Second Class,SF20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FURCH10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,1.0196,FALSE,,,,,
25,CA2015106320,25-09-2015,30-09-2015,Standard Class,EB13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FURTA10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,TRUE,,,,,
26,CA2016121755,16-01-2016,20-01-2016,Second Class,EH13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFFBI10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,FALSE,,,,,
27,CA2016121755,16-01-2016,20-01-2016,Second Class,EH13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TECAC10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,FALSE,,,,,
28,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FURBO10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,1665.0522,TRUE,,,,,
29,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFFBI10000474,Office Supplies,Binders,Avery Recycled FlexiView Covers for Binding Systems,9.618,2,0.7,7.0532,FALSE,,,,,
30,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FURFU10004848,Furniture,Furnishings,"Howard Miller 133/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,FALSE,,,,,
31,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFFEN10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,FALSE,,,,,
32,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFFAR10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,FALSE,,,,,
33,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFFBI10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,5.715,FALSE,,,,,
34,US2015150630,17-09-2015,21-09-2015,Standard Class,TB21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFFAR10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,FALSE,,,,,
35,CA2017107727,19-10-2017,23-10-2017,Second Class,MA17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFFPA10000249,Office Supplies,Paper,Easystaple paper,29.472,3,0.2,9.9468,FALSE,,,,,
36,CA2016117590,12-08-2016,12-10-2016,First Class,GH14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TECPH10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,TRUE,,,,,
37,CA2016117590,12-08-2016,12-10-2016,First Class,GH14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FURFU10003664,Furniture,Furnishings,"Electrix Architect's ClampOn Swing Arm Lamp, Black",190.92,5,0.6,147.963,TRUE,,,,,
38,CA2015117415,27-12-2015,31-12-2015,Standard Class,SN20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFFEN10002986,Office Supplies,Envelopes,"#104 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,FALSE,,,,,
39,CA2015117415,27-12-2015,31-12-2015,Standard Class,SN20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FURBO10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3Shelf Bookcases, Custom Colors",532.3992,3,0.32,46.9764,FALSE,,,,,
40,CA2015117415,27-12-2015,31-12-2015,Standard Class,SN20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FURCH10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,15.147,FALSE,,,,,
41,CA2015117415,27-12-2015,31-12-2015,Standard Class,SN20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TECPH10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,FALSE,,,,,
42,CA2017120999,09-10-2017,15-09-2017,Standard Class,LC16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TECPH10004093,Technology,Phones,Panasonic KxTS550,147.168,4,0.2,16.5564,FALSE,,,,,
43,CA2016101343,17-07-2016,22-07-2016,Standard Class,RA19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFFST10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,FALSE,,,,,
44,CA2017139619,19-09-2017,23-09-2017,Standard Class,ES14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFFST10003282,Office Supplies,Storage,"Advantus 10Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,FALSE,,,,,
45,CA2016118255,03-11-2016,13-03-2016,First Class,ON18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TECAC10000171,Technology,Accessories,"Verbatim 25 GB 6x Bluray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,FALSE,,,,,
46,CA2016118255,03-11-2016,13-03-2016,First Class,ON18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFFBI10003291,Office Supplies,Binders,Wilson Jones LeatherLike Binders with DublLock Round Rings,17.46,2,0,8.2062,FALSE,,,,,
47,CA2014146703,20-10-2014,25-10-2014,Second Class,PO18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFFST10001713,Office Supplies,Storage,"Gould Plastics 9Pocket Panel Bin, 183/8w x 51/4d x 201/2h, Black",211.96,4,0,8.4784,FALSE,,,,,
48,CA2016169194,20-06-2016,25-06-2016,Standard Class,LH16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TECAC10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,FALSE,,,,,
49,CA2016169194,20-06-2016,25-06-2016,Standard Class,LH16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TECPH10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,FALSE,,,,,
50,CA2015115742,18-04-2015,22-04-2015,Standard Class,DP13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFFBI10004410,Office Supplies,Binders,"CLine Peel & Stick AddOn Filing Pockets, 83/4 x 51/8, 10/Pack",38.22,6,0,17.9634,FALSE,,,,,
51,CA2015115742,18-04-2015,22-04-2015,Standard Class,DP13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFFLA10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,FALSE,,,,,
52,CA2015115742,18-04-2015,22-04-2015,Standard Class,DP13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FURFU10001706,Furniture,Furnishings,LongerLife Soft White Bulbs,6.16,2,0,2.9568,FALSE,,,,,
53,CA2015115742,18-04-2015,22-04-2015,Standard Class,DP13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FURCH10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,FALSE,,,,,
54,CA2016105816,12-11-2016,17-12-2016,Standard Class,JM15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFFFA10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,FALSE,,,,,
55,CA2016105816,12-11-2016,17-12-2016,Standard Class,JM15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TECPH10002447,Technology,Phones,AT&T CL83451 4Handset Telephone,1029.95,5,0,298.6855,TRUE,,,,,
56,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFFST10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,FALSE,,,,,
57,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFFPA10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,FALSE,,,,,
58,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FURCH10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,FALSE,,,,,
59,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFFPA10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,FALSE,,,,,
60,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TECAC10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,FALSE,,,,,
61,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFFBI10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,FALSE,,,,,
62,CA2016111682,17-06-2016,18-06-2016,First Class,TB21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFFAR10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,FALSE,,,,,
63,CA2015135545,24-11-2015,30-11-2015,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TECAC10004633,Technology,Accessories,"Verbatim 25 GB 6x Bluray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,FALSE,,,,,
64,CA2015135545,24-11-2015,30-11-2015,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFFBI10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,FALSE,,,,,
65,CA2015135545,24-11-2015,30-11-2015,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFFPA10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,FALSE,,,,,
66,CA2015135545,24-11-2015,30-11-2015,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FURFU10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,FALSE,,,,,
67,US2015164175,30-04-2015,05-05-2015,Standard Class,PS18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FURCH10001146,Furniture,Chairs,"Global Value MidBack Manager's Chair, Gray",213.115,5,0.3,15.2225,FALSE,,,,,
68,CA2014106376,12-05-2014,12-10-2014,Standard Class,BS11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFFAR10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 HighVolume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,TRUE,,,,,
69,CA2014106376,12-05-2014,12-10-2014,Standard Class,BS11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TECPH10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,FALSE,,,,,
70,CA2016119823,06-04-2016,06-06-2016,First Class,KD16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFFPA10000482,Office Supplies,Paper,"SnapAWay Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,FALSE,,,,,
71,CA2016106075,18-09-2016,23-09-2016,Standard Class,HM14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFFBI10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,FALSE,,,,,
72,CA2017114440,14-09-2017,17-09-2017,Second Class,TB21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFFPA10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,FALSE,,,,,
73,US2015134026,26-04-2015,05-02-2015,Standard Class,JE15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FURCH10000513,Furniture,Chairs,HighBack Leather Manager's Chair,831.936,8,0.2,114.3912,TRUE,,,,,
74,US2015134026,26-04-2015,05-02-2015,Standard Class,JE15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FURFU10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,FALSE,,,,,
75,US2015134026,26-04-2015,05-02-2015,Standard Class,JE15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFFST10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,18.196,FALSE,,,,,
76,US2017118038,12-09-2017,12-11-2017,First Class,KB16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFFBI10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,1.9344,FALSE,,,,,
77,US2017118038,12-09-2017,12-11-2017,First Class,KB16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FURFU10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,5.8248,FALSE,,,,,
78,US2017118038,12-09-2017,12-11-2017,First Class,KB16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFFST10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 615/16d x 111/4h",27.24,3,0.2,2.724,FALSE,,,,,
79,US2014147606,26-11-2014,12-01-2014,Second Class,JE15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FURFU10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,14.475,FALSE,,,,,
80,CA2016127208,06-12-2016,15-06-2016,First Class,SC20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFFAP10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,FALSE,,,,,
81,CA2016127208,06-12-2016,15-06-2016,First Class,SC20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFFBI10002309,Office Supplies,Binders,Avery HeavyDuty EZD  Binder With Locking Rings,16.74,3,0,8.0352,FALSE,,,,,
82,CA2014139451,10-12-2014,16-10-2014,Standard Class,DN13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFFAR10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,FALSE,,,,,
83,CA2014139451,10-12-2014,16-10-2014,Standard Class,DN13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFFST10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,FALSE,,,,,
84,CA2015149734,09-03-2015,09-08-2015,Standard Class,JC16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFFEN10000927,Office Supplies,Envelopes,JetPak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,FALSE,,,,,
85,US2017119662,13-11-2017,16-11-2017,First Class,CS12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFFST10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,48.9549,FALSE,,,,,
86,CA2017140088,28-05-2017,30-05-2017,Second Class,PO18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FURCH10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,FALSE,,,,,
87,CA2017155558,26-10-2017,11-02-2017,Standard Class,PG18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TECAC10001998,Technology,Accessories,Logitech LS21 Speaker System  PC Multimedia  2.1CH  Wired,19.99,1,0,6.7966,FALSE,,,,,
88,CA2017155558,26-10-2017,11-02-2017,Standard Class,PG18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFFLA10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568,FALSE,,,,,
89,CA2016159695,04-05-2016,04-10-2016,Second Class,GM14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFFST10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,FALSE,,,,,
90,CA2016109806,17-09-2016,22-09-2016,Standard Class,JS15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFFAR10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,FALSE,,,,,
91,CA2016109806,17-09-2016,22-09-2016,Standard Class,JS15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TECPH10004093,Technology,Phones,Panasonic KxTS550,73.584,2,0.2,8.2782,FALSE,,,,,
92,CA2016109806,17-09-2016,22-09-2016,Standard Class,JS15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFFPA10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,FALSE,,,,,
93,CA2015149587,31-01-2015,02-05-2015,Second Class,KB16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFFPA10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208,FALSE,,,,,
94,CA2015149587,31-01-2015,02-05-2015,Second Class,KB16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FURFU10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,FALSE,,,,,
95,CA2015149587,31-01-2015,02-05-2015,Second Class,KB16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFFBI10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504,FALSE,,,,,
96,US2017109484,11-06-2017,11-12-2017,Standard Class,RB19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFFBI10004738,Office Supplies,Binders,Flexible Leather Look Classic Collection Ring Binder,5.682,1,0.7,3.788,FALSE,,,,,
97,CA2017161018,11-09-2017,11-11-2017,Second Class,PN18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FURFU10000629,Furniture,Furnishings,93/4 Diameter Round Wall Clock,96.53,7,0,40.5426,FALSE,,,,,
98,CA2017157833,17-06-2017,20-06-2017,First Class,KD16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFFBI10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,FALSE,,,,,
99,CA2016149223,09-06-2016,09-11-2016,Standard Class,ER13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFFAP10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852,FALSE,,,,,
100,CA2016158568,29-08-2016,09-02-2016,Standard Class,RB19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFFPA10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,FALSE,,,,,
101,CA2016158568,29-08-2016,09-02-2016,Standard Class,RB19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,TECAC10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,10.7973,FALSE,,,,,
102,CA2016158568,29-08-2016,09-02-2016,Standard Class,RB19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFFBI10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,3.0396,FALSE,,,,,
103,CA2016129903,12-01-2016,12-04-2016,Second Class,GZ14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFFPA10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208,FALSE,,,,,
104,US2015156867,13-11-2015,17-11-2015,Standard Class,LC16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TECAC10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,26.8758,FALSE,,,,,
